# The Voronoi cells of the 512 games (games.csv) on the unit disk, as every sunflower map draws them: the Voronoi
# diagram of the 512 disk points, their 512 inversions in the unit circle and 32 far points on the circle of radius 3,
# each cell of a real point clipped to the unit circle by Sutherland-Hodgman against a circumscribed 64-gon, the cut
# vertices pushed back onto the circle (DiskM2WF/Opt/vor.py, cells(); common.games.compute_cells).  The cells tile
# the disk up to the 64-gon (total area 99.94% of pi).
# Columns:
#   ipt   the cell (games.csv); rows of one cell are consecutive, cells in ipt order
#   k     the vertex, 0..n-1, in the polygon's cyclic order (as scipy's Voronoi gave it; the orientation varies)
#   x, y  the vertex on the unit disk, float64 written round-trip exact
ipt,k,x,y
32,4,-0.15939906857266173,-0.186760524399665
32,5,-0.18421046762336357,-0.2013760215728662
33,0,0.30667254658853765,-0.03555787271049124
33,1,0.2745795702546258,0.024665646630120053
33,2,0.24853114460809697,0.030003817170840007
33,3,0.20243183590112107,-0.02445464040219219
33,4,0.2043414608698011,-0.04027585761668827
33,5,0.24276905330166948,-0.06798026655984736
33,6,0.3061420479369012,-0.03697658677939029
34,0,-0.13709495604995306,0.15683615448715124
34,1,-0.20690950691477192,0.1490534917915906
34,2,-0.221540967329305,0.1688824465582523
34,3,-0.20499269364128953,0.23559880771538022
34,4,-0.20193345250021746,0.23713399911500307
34,5,-0.13527950038976633,0.2165888008376138
34,6,-0.12579952810860984,0.17307868498686116
35,0,-0.04678050372170245,-0.25403021120659663
35,1,-0.0261980863376909,-0.21782715066905708
35,2,-0.003137031030960011,-0.21239384775849113
35,3,0.05228561775903286,-0.2546629464351499
35,4,0.05009829627270998,-0.2765713996465502
35,5,-0.007273571639150385,-0.3155488377150481
35,6,-0.012599182306069504,-0.3140268955645924
36,0,0.13626022569794558,0.22674900399625283
36,1,0.15113467143388937,0.24020799035307477
36,2,0.22034360166624162,0.23061535809696676
36,3,0.22398043746132607,0.2246074749640419
36,4,0.2081365297004666,0.1580102224360529
36,5,0.17131213377180848,0.14561994057423938
36,6,0.14747236608297648,0.15846947152300503
37,0,-0.2298598526122964,0.009516700015771774
37,1,-0.26323459950581723,0.023952162327590842
37,2,-0.3197885707521544,-0.013385474958339843
37,3,-0.3215888116007752,-0.022163763276215137
37,4,-0.2761516094794038,-0.07598851771595666
37,5,-0.25837269851056166,-0.07600124361505958
37,6,-0.2195670380214055,-0.018963089130037778
38,0,0.16604100465526273,-0.16656909880669937
38,1,0.17847568607448283,-0.13572851314329773
38,2,0.24577292713897625,-0.12106840494969226
38,3,0.25722211675469125,-0.13141179728200747
38,4,0.2551190025653219,-0.2023189538317386
