# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
108,1,CDDD,0,386336,31740834
108,6,DCCD,0,425368,32183565
108,8,DDDC,0,4999017342,31398048
108,9,CDDC,1,4999156503,32351875
108,14,DCCC,0,440204,32424897
108,15,CCCC,1,19662924225,17735096624
110,0,DDDD,0,19802873449,5052697412
110,1,CDDD,0,19534739578,1185496089
111,8,DDDC,0,320285,31354760
111,9,CDDC,1,358072,31706835
111,15,CCCC,1,24636297701,26037734581
113,0,DDDD,0,25271785065,14356705234
113,1,CDDD,0,24699047496,34323399661
113,8,DDDC,0,379389,31674871
113,9,CDDC,1,426497,31803131
113,14,DCCC,0,327051,31460754
113,15,CCCC,1,351784,31827524
114,15,CCCC,1,22617507856,25887695194
115,0,DDDD,0,15412030195,7839083252
115,1,CDDD,0,14536181032,1678981498
116,0,DDDD,0,325254,31367854
116,1,CDDD,0,346190,31498622
116,8,DDDC,0,322473,31361664
116,9,CDDC,1,361322,31864097
116,14,DCCC,0,383638,31692433
116,15,CCCC,1,24986477866,29998242769
118,0,DDDD,0,14591028822,108652694
118,1,CDDD,0,14709936907,109782007
118,9,CDDC,1,15653820262,48148590900
119,15,CCCC,1,25262230231,40192615839
121,0,DDDD,0,7586425690,1816197514
121,1,CDDD,0,7406821062,46708112342
121,6,DCCD,0,416789,31634116
121,8,DDDC,0,4999126990,31587529
121,9,CDDC,1,9997936971,31798509
121,14,DCCC,0,416383,31429741
121,15,CCCC,1,9738570183,32442381
122,15,CCCC,0,415514763,1765002732
123,0,DDDD,0,20200656413,4279404775
123,1,CDDD,0,19644828870,2797759655
124,0,DDDD,0,323188,31367129
124,8,DDDC,0,319217,31343613
124,9,CDDC,1,348341,31637859
124,14,DCCC,0,361675,31593366
124,15,CCCC,1,25671005128,25677565689
126,0,DDDD,0,22970668213,14607394608
126,1,CDDD,0,23672710343,34080646118
126,8,DDDC,0,408578,31690191
126,9,CDDC,1,3324616910,31850254
