# Memory two: the strict Nash equilibria among the 65536 binary memory-two strategies at eps = 1e-4, at each of the
# 512 games (data/games), and the share of the population on them (SI Figures 6d-f and 7d-f). One row per game, in
# ipt order. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strict: all sixteen one-flip deviations earn strictly less against the resident than it earns against itself, which
# at eps > 0 is strictness against all 65535 other memory-two strategies; decided exactly on the integer half-planes of
# MapBinM2's exact/exactcoef.py (DiskM2WF ne16.verdicts). Made by provenance/strict/reduce_strict.py.
# Columns:
#   ipt, u, v          the game, (R, S, T, P) = (1, u, 1 + v, 0), as in data/games/games.csv
#   n_strict           number of strict Nash equilibria at eps = 1/10000 (SI Figure 6d)
#   n_weak             number of weak equilibria (all sixteen one-flip gains <= 0); equal to n_strict at every game
#   n_eff              number of strategies efficient in the limit eps -> 0 at the game (7639 mutual cooperators below
#                      the switch line u + v = 1, 3072 alternators above it)
#   n_eff_strict       number of strict equilibria that are efficient in the limit (SI Figure 7d)
#   n_strict_float64   number with a positive margin pi(s,s) - max_t pi(t,s) in the double-precision brute-force scan
#                      of all 65535 deviations (provenance/strict/bruteforce), as the scan wrote it; see m2_float64_check.csv
#   share_F2, share_F1         share of the population on the strict equilibria (SI Figure 6e, 6f)
#   share_eff_F2, share_eff_F1 the same for the efficient strict equilibria (SI Figure 7e, 7f)
# Each share equals the sum (numpy.sum, rows in file order) of pi_F2 (pi_F1) over the game's rows of m2_sets.csv, bit for bit.
ipt,u,v,n_strict,n_weak,n_eff,n_eff_strict,n_strict_float64,share_F2,share_F1,share_eff_F2,share_eff_F1
105,-2.01953125,0.1474609375,35,35,7639,11,35,0.010357911224632638,0.17484672483004873,0.008779229781520551,0.17484028775001156
106,1.3974609375,-1.4814453125,1,1,7639,1,1,0.0002017432270173083,0.009485202820105206,0.0002017432270173083,0.009485202820105206
107,-0.0302734375,2.048828125,1,1,3072,0,1,8.77252023989542e-06,5.250799938396428e-07,0.0,0.0
108,-1.3701171875,-1.5400390625,534,534,7639,128,532,0.023443617093470315,0.05242420384493247,0.02344285007347583,0.05235857682498688
109,2.0625,0.2119140625,0,0,3072,0,0,0.0,0.0,0.0,0.0
110,-1.6728515625,1.244140625,19,19,7639,4,19,0.028298365770274992,0.1609742759094976,0.026229033838386866,0.16095324352966497
111,0.3955078125,-2.0595703125,72,72,7639,56,72,0.016864097846487493,0.0006756964283095555,0.01686406986648742,0.0006732314283304854
112,1.10546875,1.7958984375,0,0,3072,0,0,0.0,0.0,0.0,0.0
113,-2.0400390625,-0.5810546875,331,331,7639,117,329,0.020535599303366334,0.07966725396689414,0.02053488150336377,0.07963197556706142
114,1.9072265625,-0.955078125,1,1,7639,1,0,0.0005516620590131359,0.0030062468694344326,0.0005516620590131359,0.0030062468694344326
115,-0.765625,2.00390625,15,15,3072,0,15,0.0009345507351954714,9.63546004518432e-06,0.0,0.0
116,-0.7939453125,-2.005859375,415,415,7639,106,415,0.022874638869879824,0.0465617449205362,0.02287408630988205,0.04651368668060215
117,1.951171875,0.9482421875,0,0,3072,0,0,0.0,0.0,0.0,0.0
118,-2.08984375,0.6220703125,29,29,7639,11,29,0.006459083814764765,0.12508433049817594,0.00476969509057221,0.12507693973815015
119,1.126953125,-1.880859375,1,1,7639,1,1,3.24099999967859e-07,0.01264240218508112,3.24099999967859e-07,0.01264240218508112
120,0.44140625,2.16015625,0,0,3072,0,0,0.0,0.0,0.0,0.0
121,-1.794921875,-1.3017578125,547,547,7639,128,545,0.019863772178648424,0.039352266302643546,0.016377275598305485,0.03928044348306581
122,2.2138671875,-0.25390625,1,1,3072,0,0,1.8712599975546603e-06,5.615800062422462e-07,0.0,0.0
123,-1.46875,1.6923828125,19,19,7639,4,19,0.011755595708021253,0.07034258768429714,0.006592017945861666,0.07030282938407233
124,-0.060546875,-2.251953125,245,245,7639,106,245,0.01866633470953078,0.033949757352316395,0.018666085049530816,0.033928351672411775
125,1.5732421875,1.6279296875,0,0,3072,0,0,0.0,0.0,0.0,0.0
126,-2.2724609375,-0.138671875,176,176,7639,117,173,0.02461563687813477,0.10677735240524387,0.022425181548580055,0.10676475182522888
127,1.7783203125,-1.4404296875,1,1,7639,1,0,8.731389962579725e-05,0.0053785522359957524,8.731389962579725e-05,0.0053785522359957524
128,-0.33984375,2.2744140625,6,6,3072,0,6,0.00014108524276321122,2.9991599684460946e-06,0.0,0.0
129,-1.29296875,-1.9169921875,534,534,7639,128,534,0.014067308998449293,0.049058333613725656,0.014066591038450125,0.04899432269394091
130,2.259765625,0.54296875,0,0,3072,0,0,0.0,0.0,0.0,0.0
131,-2.0439453125,1.130859375,19,19,7639,4,19,0.023208193017104944,0.15598887714934476,0.020953254206897344,0.15597839878946398
132,0.74609375,-2.2255859375,56,56,7639,56,56,0.002243357987336493,0.004780708998108559,0.002243357987336493,0.004780708998108559
133,0.9580078125,2.15625,0,0,3072,0,0,0.0,0.0,0.0,0.0
134,-2.173828125,-0.947265625,409,409,7639,117,407,0.0246640006841697,0.10426794551554752,0.024663355344173986,0.07349390031257538
135,2.25390625,-0.7734375,1,1,3072,0,0,0.0005282256157260756,5.585799639185454e-07,0.0,0.0
136,-1.1455078125,2.103515625,15,15,7639,0,15,0.0033400624521900775,3.128619917052404e-06,0.0,0.0
137,-0.5791015625,-2.3369140625,380,380,7639,106,380,0.017980334887833474,0.043678819461630165,0.01797986048783302,0.04363660462182593
