# Memory two: the 160 (game, strategy) pairs at which the double-precision brute-force scan (every resident against all
# 65535 alternatives; provenance/strict/bruteforce/nescan.f90) disagrees with the exact one-flip test. At every other
# of the 512 x 65536 pairs the two agree. In all 160 the exact test finds a strict equilibrium and the scan does not.
# The re-adjudication in quadruple precision (bruteforce/neq.f90, the same payoff code compiled with every double
# promoted to real(16)) agrees with the exact test at all 160. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt, gid           the game (gid = 2000 + ipt)
#   s                  the resident (the code of m2_sets.csv)
#   margin_float64     pi(s,s) - max_{t != s} pi(t,s) as the double-precision scan computed it (-2.22e-16, -1.11e-16, 0)
#   margin_quad        the same margin in quadruple precision, as QUADFIX.dat prints it (all positive, 1.5e-18 to 2.9e-16)
#   pi_F2, pi_F1       the resident's abundance in the two runs (as in m2_sets.csv)
ipt,gid,s,margin_float64,margin_quad,pi_F2,pi_F1
58,2058,65535,-1.1102230246251565e-16,3.201091872122e-17,6.343999810258135e-08,1.9454200918806866e-06
59,2059,65535,0.0,7.10920774012e-17,0.0007699033587675855,0.016082240367822312
64,2064,65535,0.0,1.332812075627e-16,0.000706973544683733,0.0018699335600190828
66,2066,63359,0.0,1.836685062431e-16,7.08000014322457e-09,7.063300069048507e-06
66,2066,65535,0.0,8.366178672427e-17,3.8772000729389953e-07,6.943319981866804e-06
67,2067,65535,-2.220446049250313e-16,2.549846475841e-17,4.960022118791216e-05,5.648599841562777e-07
69,2069,63359,0.0,2.571176624232e-16,0.000915877113650718,0.0009519596886802592
69,2069,65535,0.0,1.570962567456e-16,4.115999985585905e-08,0.00020161518379173353
71,2071,63359,-1.1102230246251565e-16,1.015364608976e-16,2.599999990411775e-09,3.6322001296165994e-07
71,2071,63903,0.0,7.828252886288e-18,4.210999971062685e-07,1.0364200376736816e-06
71,2071,65535,-1.1102230246251565e-16,1.54616368115e-18,4.619999933429434e-09,2.6219999148770894e-07
72,2072,65535,0.0,1.079005825781e-16,0.00013284808653576583,0.021547870691936505
74,2074,63359,0.0,2.312301243097e-16,3.962000146296166e-08,2.189028059442243e-05
74,2074,65535,0.0,1.312138948454e-16,1.3470000213124462e-07,0.0001385272774397117
77,2077,65535,0.0,1.616909240482e-16,0.0001494024328504981,0.003972905684953901
79,2079,63359,0.0,1.600326189184e-16,1.557999948736524e-08,2.4595799570948086e-06
79,2079,65535,0.0,6.003062539519e-17,0.00026118682538464296,2.5031599875437247e-06
80,2080,65535,-1.1102230246251565e-16,6.396798540792e-17,9.707060231067397e-05,0.0047099790407739706
82,2082,63359,0.0,2.667818019887e-16,0.0004900714844188496,0.0037453456321430603
82,2082,65535,0.0,1.667584639665e-16,1.74999996573087e-08,0.0032538955570135526
85,2085,65535,0.0,1.446103573976e-16,4.08200016114708e-08,0.019581016156523683
87,2087,63359,0.0,2.176520682359e-16,0.0002132417577108301,1.1038740001419144e-05
87,2087,65535,0.0,1.176385537039e-16,1.5898000080801984e-07,1.6309699259740808e-05
88,2088,65535,0.0,5.778728536582e-18,6.758885869919433e-05,6.070999913044658e-07
92,2092,63359,-1.1102230246251565e-16,1.266316639736e-16,1.1030000011770193e-07,7.048200190175621e-07
92,2092,65535,-1.1102230246251565e-16,2.663634897134e-17,5.079999970393016e-09,3.9482000291396305e-07
93,2093,65535,0.0,1.058537267987e-16,0.00027540096185369877,0.004389166368375434
95,2095,63359,0.0,2.660939500485e-16,3.43400011363243e-08,0.0004021184282213801
95,2095,65535,0.0,1.660707495623e-16,7.459999744570598e-09,0.0003902896711087979
98,2098,65535,0.0,1.781946734036e-16,1.9764000557957327e-07,0.0035518002702157004
100,2100,63359,0.0,1.930390813165e-16,1.0839999997276274e-08,7.107999864575378e-06
100,2100,65535,0.0,9.303048815119e-17,0.0002644075718243551,6.939939795574351e-06
101,2101,65535,0.0,4.854460648785e-17,0.00021846503666068362,5.797600147846781e-07
108,2108,63359,0.0,2.539801809259e-16,4.091999977207832e-08,1.5143120421705457e-05
108,2108,65535,0.0,1.539594025878e-16,2.074241998892213e-05,1.3600299995286007e-05
113,2113,63359,0.0,1.580750502517e-16,4.414319848005374e-06,3.8932000574791994e-07
113,2113,65535,0.0,5.807344814434e-17,0.0005605910557312521,2.8528000822414403e-07
114,2114,65535,0.0,9.550777938546e-17,0.0005516620590131359,0.0030062468694344326
121,2121,63359,0.0,2.301478091227e-16,1.9779999890641772e-08,0.00015462652642236102
121,2121,65535,0.0,1.301317960673e-16,0.00015968443792170503,1.2190440412627276e-05
122,2122,65535,0.0,2.540768282461e-17,1.8712599975546603e-06,5.615800062422462e-07
126,2126,63359,-1.1102230246251565e-16,1.138344476479e-16,9.48320029173769e-06,4.0311999990236434e-07
126,2126,63903,0.0,6.928622134007e-17,4.1639999849842116e-08,6.565800310602981e-07
126,2126,65535,-1.1102230246251565e-16,1.384169144897e-17,2.2799999642624847e-09,2.1185999908007404e-07
127,2127,65535,0.0,1.440319387001e-16,8.731389962579725e-05,0.0053785522359957524
134,2134,63359,0.0,1.946948034134e-16,3.1851999468037387e-07,1.4535199846594662e-06
134,2134,65535,0.0,9.468587918648e-17,0.00028710105134236764,1.7168000560722648e-06
135,2135,65535,0.0,7.735081651127e-17,0.0005282256157260756,5.585799639185454e-07
142,2142,63359,0.0,2.700893004758e-16,0.00019045479725398503,1.2921859690586264e-05
142,2142,65535,0.0,1.700653011192e-16,2.1760000039294415e-08,1.8157719728254438e-05
147,2147,63359,-1.1102230246251565e-16,1.487933121808e-16,9.368000057744579e-08,1.984799976023585e-07
147,2147,65535,-1.1102230246251565e-16,4.879356595695e-17,1.0960000010671811e-08,2.0106000673006227e-07
155,2155,63359,0.0,2.359050445995e-16,2.0319999896465425e-08,1.1188320078317038e-05
155,2155,65535,0.0,1.358878803849e-16,3.501600075102654e-07,9.940020408069208e-06
156,2156,65535,0.0,5.15780237279e-17,0.00028371409229183456,5.887400193906951e-07
168,2168,63359,0.0,1.896120884665e-16,5.75467201931366e-05,7.580799809610583e-07
168,2168,65535,0.0,8.96041805284e-17,0.00011528049798055475,9.357600035886851e-07
169,2169,65535,0.0,1.122101612134e-16,0.00012425493307362012,6.269599904948575e-07
177,2177,65535,0.0,1.828692057634e-17,2.1960000066987077e-08,4.759999950170224e-07
181,2181,63359,0.0,1.327732542652e-16,9.069999857475874e-08,1.7291999734524285e-07
181,2181,65535,0.0,3.277671125195e-17,3.959059993299781e-06,1.6344000717507296e-07
189,2189,63359,0.0,2.356072804689e-16,9.200000067741775e-08,6.384800159237378e-06
189,2189,65535,0.0,1.355901757922e-16,3.394000109483624e-08,6.5361000601926684e-06
190,2190,65535,0.0,8.428984889293e-17,4.641069971693798e-05,3.902200135863723e-07
202,2202,63359,-1.1102230246251565e-16,1.77986200129e-16,4.753999860971697e-08,1.5537999468063678e-07
202,2202,65535,-1.1102230246251565e-16,7.79806167873e-17,6.600000102734463e-09,1.517200032274535e-07
211,2211,65535,-2.220446049250313e-16,4.836309144349e-17,5.4184980531661475e-05,1.4857999878993227e-06
215,2215,63359,-1.1102230246251565e-16,1.098194663527e-16,3.7244001372487805e-07,1.604999937939785e-07
215,2215,63903,0.0,4.922175072443e-17,1.2360000156814594e-08,1.8222000625655807e-07
215,2215,65535,-1.1102230246251565e-16,9.827512949286e-18,4.472000022819955e-08,1.5278000381076292e-07
223,2223,63359,0.0,2.292544385982e-16,0.00016818566646079747,4.126839933247253e-06
223,2223,65535,0.0,1.292386041723e-16,7.120000141129718e-09,4.035240174508068e-06
224,2224,65535,0.0,1.241290274437e-16,9.037645926946613e-05,3.9234001815546135e-07
232,2232,65535,0.0,4.429800983304e-18,4.144405834208247e-05,4.180400047760894e-07
236,2236,63359,-1.1102230246251565e-16,1.595240622389e-16,7.459999719027813e-09,1.5726000438141275e-07
236,2236,65535,-1.1102230246251565e-16,5.952217040166e-17,2.518000027316768e-08,1.5706000081183122e-07
244,2244,63359,0.0,2.858944736366e-16,1.8479999763763713e-08,6.0740999340976205e-06
244,2244,65535,0.0,1.858673140357e-16,0.0009556924347907049,6.513800150273367e-06
245,2245,65535,0.0,8.615262152551e-17,1.1820940063403167e-05,5.250000147741655e-07
257,2257,63359,0.0,2.164557865821e-16,0.0008242694322868926,1.4417199721778605e-06
257,2257,65535,0.0,1.164425112466e-16,3.175999911786558e-08,1.451620049370382e-06
266,2266,65535,-2.220446049250313e-16,3.899811034752e-17,2.3617620191983118e-05,1.5771199778090582e-06
