# Memory two: one row per (game, strategy) at which the strategy is a strict Nash equilibrium at eps = 1e-4 (65547 rows).
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strategy code s = 0..65535: bit k of s (k = 0..15) is 1 if the strategy intends C in state k = 4 x (the most recent outcome) + (the outcome before), outcomes 0 CC, 1 CD, 2 DC, 3 DD from the focal player's side (MapBinM2's exactcoef.py); ALLD 0, ALLC 65535, the memory-one strategy with answers b_j embeds as 15 x sum_j b_j 16^j.
# Columns:
#   ipt                the game (data/games/games.csv)
#   s                  the strategy
#   efficient          1 if efficient in the limit eps -> 0 at this game (SI Figure 7)
#   mutual_cooperator  1 if its self-play in the limit is all CC (one of the 7639)
#   alternator         1 if its self-play in the limit alternates CD, DC perfectly (one of the 3072); 0 in every row
#   float64_strict     1 if the double-precision brute-force scan also found it strict (0 in the 160 rows of m2_float64_check.csv)
#   pi_F2, pi_F1       its time-averaged abundance in the run, normalised so that the 65536 abundances sum to 1
ipt,s,efficient,mutual_cooperator,alternator,float64_strict,pi_F2,pi_F1
3,36009,1,1,0,1,2.7340000482884108e-08,1.0129799662200416e-06
3,36281,1,1,0,1,8.539999817524495e-09,5.368399918810331e-07
3,36585,1,1,0,1,1.9019999795360894e-08,1.4293799515195135e-06
3,36857,1,1,0,1,7.759999753069193e-09,5.122799969198896e-07
3,36863,1,1,0,1,1.2580000151369902e-08,1.2895339768782026e-05
3,36864,0,0,0,1,3.6200000770941015e-09,2.8851999940816304e-07
3,36865,0,0,0,1,4.859999957516898e-09,3.1188000137376135e-07
3,36870,0,0,0,1,5.319999995528999e-09,2.7985998979769384e-07
3,36871,0,0,0,1,6.100000059984301e-09,3.328999871552517e-07
3,36872,0,0,0,1,3.7999998699237966e-09,3.1555998747255566e-07
3,36873,1,1,0,1,6.116821895640293e-05,2.9629000023959577e-06
3,36878,0,0,0,1,3.6400000787468013e-09,3.033200077589181e-07
3,36879,1,1,0,1,0.004411984234583406,2.972320093782791e-06
3,37136,0,0,0,1,4.979999967433098e-09,4.256199878516341e-07
3,37137,0,0,0,1,6.500000093038302e-09,4.876599753083449e-07
3,37145,1,1,0,1,1.6759999608605788e-08,1.7674999551012073e-06
3,37151,1,1,0,1,0.00045480142575553067,2.5021259751710182e-05
3,37449,1,1,0,1,0.0032887062985710036,2.42631995546974e-06
3,37721,1,1,0,1,1.10000000208066e-08,9.524600286292211e-07
3,37929,1,1,0,1,0.0005134011152590756,8.561199832193172e-07
3,38201,1,1,0,1,5.629999932328008e-08,4.81100017388926e-07
3,38505,1,1,0,1,9.80854019768561e-06,1.0889400543240167e-06
3,38777,1,1,0,1,1.0039820152848588e-05,5.301400286207635e-07
3,39048,0,0,0,1,3.839999873229197e-09,3.442200129767549e-07
3,39049,1,1,0,1,0.0005400998051640517,3.1136598907364925e-06
3,39055,1,1,0,1,0.0006591888958824982,1.1260999615275295e-05
3,39321,1,1,0,1,5.133400122217855e-07,1.910419999101457e-06
3,39327,1,1,0,1,2.34600001622603e-08,4.359627934470255e-05
3,39625,1,1,0,1,5.928051904732644e-05,3.356120037259325e-06
3,39897,1,1,0,1,0.0005388385033598506,7.494400062172836e-07
3,40105,1,1,0,1,2.1580000006906497e-08,9.806200309987094e-07
3,40377,1,1,0,1,2.379420038527617e-06,5.333400288900236e-07
3,40681,1,1,0,1,5.3392381227071605e-05,1.0114999909645047e-06
3,40953,1,1,0,1,6.300000076511301e-09,4.969999743178908e-07
3,40959,1,1,0,1,7.140000145924703e-09,1.1729400301282125e-05
3,57353,1,1,0,1,0.000851345073807686,0.00029080410645176415
3,57359,1,1,0,1,0.0008497954694590109,3.52352004068685e-06
3,57631,1,1,0,1,0.00023596381649682596,0.0001863897780709596
3,57935,1,1,0,1,1.8379999742474492e-08,1.8144299272532867e-05
3,58207,1,1,0,1,5.004000058234181e-08,0.00018563162328649768
3,58415,1,1,0,1,4.956000054267701e-08,2.2220999684839664e-06
3,58687,1,1,0,1,2.3100000132511702e-08,6.147400208179284e-06
3,58985,1,1,0,1,3.41626800909963e-05,1.2798800544032155e-06
3,58991,1,1,0,1,1.8599999760654192e-08,1.1972500049954877e-05
3,59257,1,1,0,1,5.059999974043898e-09,4.869800143309776e-07
3,59263,1,1,0,1,1.5159999476389787e-08,2.026338009388141e-05
3,59535,1,1,0,1,5.469999919106408e-08,0.0010526063866784362
3,59807,1,1,0,1,0.0003334248903787476,0.0009278274969180359
3,60111,1,1,0,1,2.4240000226715605e-08,0.00025648402551793593
3,60383,1,1,0,1,1.583999953258159e-08,0.004732675857033192
3,60591,1,1,0,1,9.579999903464896e-09,4.877900216821971e-06
3,60863,1,1,0,1,8.739999834051495e-09,7.63788012753649e-06
3,61161,1,1,0,1,6.240000071553201e-09,1.0941799943687974e-06
3,61167,1,1,0,1,4.4560000129502e-08,0.00012853414245758742
3,61433,1,1,0,1,6.420000086427501e-09,5.27920008894039e-07
3,61439,1,1,0,1,2.6711979441556917e-05,1.2201579937780125e-05
3,61440,0,0,0,1,4.5599999327263975e-09,2.4683998879562357e-07
3,61441,0,0,0,1,4.879999959169599e-09,2.564200091416461e-07
3,61446,0,0,0,1,4.8199999542114986e-09,2.561199895764777e-07
3,61447,0,0,0,1,4.159999899672397e-09,3.1018001366521487e-07
3,61448,0,0,0,1,3.0600000308185007e-09,2.641799884783196e-07
3,61449,1,1,0,1,8.285999796535205e-08,4.968199853161573e-06
3,61454,0,0,0,1,9.379999886937897e-09,2.724999891783957e-07
3,61455,1,1,0,1,2.0189999359136794e-07,1.320316007001847e-05
3,61712,0,0,0,1,1.4175599970583507e-05,3.6867999194227244e-07
3,61713,0,0,0,1,4.154599934753305e-07,4.0550000392223003e-07
3,61721,1,1,0,1,7.847999937976757e-08,1.9697999987688433e-06
3,61727,1,1,0,1,1.98793804863243e-05,0.0005231705152321198
3,62025,1,1,0,1,1.1496000239429245e-07,3.025319988108286e-06
3,62031,1,1,0,1,0.0008804987882267506,1.25780398042557e-05
3,62297,1,1,0,1,0.001292445114677561,9.605599884545783e-07
3,62303,1,1,0,1,3.534000114396412e-08,0.0006278385999110327
