# replicates_f2_e4.csv -- memory-two Wright-Fisher run f2_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files f2_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 9000000 (runs.csv), isl from games_f2_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_f2_e4.csv within 5.5e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
8,1,9013911,0.95745417,0.03772283,0.01278695,0.05163664,0.00445138,0.89264275,0.00075944,2e-08,32841,6,0.04080458,0.9994721
8,2,9013912,0.92747073,0.05856983,0.01509278,0.11143235,0.00378173,0.81056962,0.00055355,1.4e-07,37130,2,0.09003255,0.6663645
8,3,9013913,0.93771009,0.05273808,0.01614635,0.0847134,0.00473808,0.83930248,0.00236149,1.1e-07,36938,2,0.06976589,0.6664054
8,4,9013914,0.95678788,0.06016985,0.01775544,0.02132729,0.00392786,0.89616877,0.00065062,1.7e-07,33113,6,0.04650829,0.9994722
8,5,9013915,0.94661305,0.03786861,0.01841105,0.06985707,0.00547782,0.86048437,0.00070843,0.00719265,37129,6,0.0675387,0.9993444
8,6,9013916,0.94745761,0.05721166,0.01612527,0.04030608,0.00455925,0.87981774,0.00197994,7e-08,32907,6,0.04596604,0.9994721
8,7,9013917,0.9147594,0.03430248,0.01385396,0.1843427,0.00617296,0.75327377,0.00075959,0.00729455,37128,2,0.15957698,0.6663646
8,8,9013918,0.96075679,0.04167414,0.01275367,0.02972355,0.00714271,0.90758462,0.00112073,5.8e-07,33097,6,0.04740481,0.9992166
8,9,9013919,0.95818608,0.04845348,0.01908412,0.02750741,0.00444932,0.89690368,0.00360172,2.9e-07,32873,6,0.05232942,0.9993443
8,10,9013920,0.96503684,0.04394836,0.01522662,0.01441339,0.00449554,0.92005543,0.00186046,1.9e-07,35273,6,0.05157843,0.9992166
9,1,9013941,0.99928437,0.00045547,0.0,7.23e-06,1.528e-05,0.99793298,0.0,0.00158903,36911,6,0.03140315,0.9994106
9,2,9013942,0.99927642,0.00043795,0.0,7.22e-06,1.419e-05,0.99496614,0.0,0.0045745,7673,6,0.0249461,0.9996736
9,3,9013943,0.99930074,0.00046623,0.0,7.62e-06,1.554e-05,0.99951052,0.0,9e-08,52089,6,0.05190926,0.9994105
9,4,9013944,0.9992658,0.00048295,0.0,7.54e-06,1.582e-05,0.99949365,0.0,4e-08,65471,6,0.02212405,0.9998103
9,5,9013945,0.99922551,0.0004492,0.0,7.49e-06,1.446e-05,0.99952882,0.0,4e-08,37817,6,0.04034476,0.999421
9,6,9013946,0.99926935,0.00041644,0.0,7.24e-06,1.396e-05,0.99956229,0.0,7e-08,34281,6,0.05054772,0.9992213
9,7,9013947,0.99932639,0.00050706,0.0,8.15e-06,1.724e-05,0.99946668,0.0,8.7e-07,21751,6,0.02720899,0.9997221
9,8,9013948,0.99926933,0.00045966,0.0,7.38e-06,1.479e-05,0.99951777,0.0,3.9e-07,25897,6,0.03369771,0.9992976
9,9,9013949,0.99923882,0.00040903,0.0,7.35e-06,1.346e-05,0.99957005,0.0,1.2e-07,49145,6,0.04814662,0.9996736
9,10,9013950,0.99928217,0.00049965,0.0,7.72e-06,1.717e-05,0.9994754,0.0,5e-08,21689,6,0.03188635,0.9995472
10,1,9013971,0.95440985,0.09439375,0.03857614,0.07112454,0.00709431,0.76232271,0.02445167,0.00203687,8933,2,0.05313589,0.8604737
10,2,9013972,0.93453978,0.11896876,0.05649644,0.14003701,0.0108637,0.66215755,0.00013843,0.0113381,8437,2,0.06629491,0.8606456
10,3,9013973,0.94618591,0.11525229,0.0842731,0.08816815,0.00688684,0.70541946,1.1e-07,4e-08,37129,6,0.03872466,0.9995446
10,4,9013974,0.94158953,0.11029322,0.04686571,0.17177585,0.00651587,0.66278748,1.9e-07,0.00176168,8356,2,0.1056332,0.8604237
10,5,9013975,0.95450421,0.12608744,0.05243989,0.01902914,0.00700113,0.79409115,0.00134876,2.49e-06,33321,6,0.02503251,0.9995446
10,6,9013976,0.93599711,0.15264585,0.06758045,0.05755413,0.00974366,0.70986766,9e-08,0.00260816,23945,6,0.05416088,0.9994172
10,7,9013977,0.93645736,0.11288095,0.05207547,0.1688103,0.00802455,0.65574222,0.00246646,6e-08,8428,2,0.06658095,0.8604238
10,8,9013978,0.94172099,0.15397828,0.06346208,0.03366518,0.01899691,0.68108418,0.0176874,0.03112598,37129,6,0.03565404,0.9995446
10,9,9013979,0.95698603,0.12229707,0.06431769,0.02137961,0.00868347,0.78225449,0.00066147,0.0004062,34059,6,0.03546436,0.9995446
10,10,9013980,0.95411439,0.11332249,0.06329177,0.02842825,0.01227897,0.77154892,0.0111277,1.9e-06,37401,6,0.02981746,0.9995308
11,1,9014001,0.99452316,0.00171873,0.0,0.00770878,0.00033172,0.99023972,9.1e-07,1.4e-07,60937,6,0.03120323,0.9992532
11,2,9014002,0.99175876,0.00082367,0.0,0.01924159,1.355e-05,0.97699147,8.7e-07,0.00292884,37161,6,0.03585173,0.9991446
11,3,9014003,0.99680649,0.00214799,0.0,0.0038619,2.89e-05,0.99382535,0.00013582,4e-08,39769,6,0.02557654,0.9996176
11,4,9014004,0.9905159,0.00321254,0.0,0.01903066,9.758e-05,0.97765733,8.4e-07,1.05e-06,15049,6,0.03745589,0.9991359
11,5,9014005,0.98551588,0.00112601,0.0,0.03863823,1.83e-05,0.95546498,8.5e-07,0.00475163,37197,6,0.03954345,0.9990535
11,6,9014006,0.99822961,0.00219668,0.0,6.54e-06,0.00015626,0.9976396,8.6e-07,6e-08,36233,6,0.05762865,0.9992356
11,7,9014007,0.99887319,0.00084928,0.0,6.36e-06,3.065e-05,0.99911283,7.9e-07,9e-08,59737,6,0.04150747,0.9994178
11,8,9014008,0.99064118,0.00194407,0.0,0.0226708,6.783e-05,0.97525063,6.664e-05,4e-08,32845,6,0.02871393,0.9994177
11,9,9014009,0.99674097,0.00296525,0.0,0.00372171,8.037e-05,0.99323149,8.7e-07,3.2e-07,14041,6,0.03026203,0.9992532
11,10,9014010,0.99867684,0.00115869,0.0,6.61e-06,1.263e-05,0.99882121,8.3e-07,2e-08,54697,6,0.04261936,0.9988718
12,1,9014031,0.99923171,0.00219384,0.0,8.7e-07,2.037e-05,0.99778484,1e-08,7e-08,44137,6,0.03803261,0.9991934
12,2,9014032,0.99937026,0.0007342,0.0,7.9e-07,1.665e-05,0.99924828,1e-08,6e-08,6137,6,0.03154502,0.9997481
12,3,9014033,0.99925047,0.00141008,0.0,8e-07,1.85e-05,0.99857054,2e-08,6e-08,44953,6,0.03388296,0.9994964
12,4,9014034,0.99928569,0.00173604,0.0,1.04e-06,2.107e-05,0.99824165,2e-08,1.8e-07,36729,6,0.062958,0.9995483
12,5,9014035,0.99932988,0.00102634,0.0,7.9e-07,1.838e-05,0.99895431,2e-08,1.6e-07,40331,6,0.05742076,0.9994963
12,6,9014036,0.99928517,0.00147638,0.0,1.07e-06,2.036e-05,0.9985021,4e-08,6e-08,32713,6,0.02601698,0.9996963
12,7,9014037,0.99939212,0.00073324,0.0,1.11e-06,2.02e-05,0.99924538,3e-08,4e-08,39021,6,0.04582457,0.9993928
12,8,9014038,0.99934714,0.00066949,0.0,9.5e-07,2.01e-05,0.99930934,2e-08,1e-07,57359,6,0.03109707,0.9997481
12,9,9014039,0.99930841,0.00098379,0.0,9.5e-07,1.706e-05,0.99899807,3e-08,9e-08,6553,6,0.07197028,0.9995482
12,10,9014040,0.99933731,0.00090608,0.0,8.4e-07,2.038e-05,0.99907217,1e-08,5.2e-07,50457,6,0.03059785,0.9987948
13,1,9014061,0.9501212,0.07676423,0.02690268,0.00956306,0.00989305,0.87132364,0.0034733,0.00208005,36875,6,0.0427302,0.9995161
13,2,9014062,0.95666941,0.06599467,0.02716631,0.00475456,0.00801612,0.88091457,0.00265014,0.01050364,34441,6,0.04002912,0.9992644
13,3,9014063,0.94559227,0.07816433,0.03683668,0.00924227,0.01382787,0.85615785,0.00391741,0.00185359,37517,6,0.03901781,0.9994741
13,4,9014064,0.9590081,0.05749934,0.01935455,0.01861751,0.0090742,0.89503852,0.00041585,3e-08,37417,6,0.03378477,0.9994322
13,5,9014065,0.94468519,0.08314098,0.02592071,0.00634067,0.01319879,0.84061826,0.00417615,0.02660444,33227,6,0.04805891,0.9993482
13,6,9014066,0.95377376,0.06890347,0.02312665,0.00646526,0.00839889,0.88848479,0.00462092,3e-08,33113,6,0.07407282,0.9995161
13,7,9014067,0.94990046,0.07208261,0.02885828,0.01475118,0.01070908,0.86964066,0.00395807,1.1e-07,37133,6,0.05294579,0.9994322
13,8,9014068,0.9496868,0.07475507,0.03167418,0.01028705,0.01182643,0.84061551,0.00505592,0.02578584,36137,6,0.03749943,0.9994321
13,9,9014069,0.95748966,0.06218667,0.0238045,0.0070926,0.01039604,0.89456475,0.00137441,0.00058104,32813,6,0.04056463,0.9994741
13,10,9014070,0.94503945,0.08198997,0.02590517,0.01008382,0.01006554,0.86767245,0.00428296,8e-08,37001,6,0.03888314,0.999516
