# replicates_dw4_e4.csv -- memory-two Wright-Fisher run dw4_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files dw4_e4.{idx,win} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 11000000 (runs.csv), isl from games_dw4_e4.csv
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,top,top_atom,top_share,top_selfpay
13,3,11014063,32971,6,0.06251331,0.999516
13,4,11014064,37067,6,0.10097778,0.999516
13,5,11014065,33163,6,0.12901112,0.9994321
13,6,11014066,32975,6,0.06649491,0.999516
13,7,11014067,37003,6,0.05297276,0.999516
13,8,11014068,33163,6,0.06401413,0.9994321
13,9,11014069,32907,6,0.06694872,0.999516
13,10,11014070,37071,6,0.03934791,0.999516
14,1,11014091,40671,6,0.03323112,0.9994721
14,2,11014092,51167,6,0.03146951,0.9998239
14,3,11014093,59103,6,0.03300763,0.9994721
14,4,11014094,57055,6,0.04963373,0.9994721
14,5,11014095,64927,6,0.04355641,0.9998239
14,6,11014096,53215,6,0.0247767,0.9998239
14,7,11014097,56287,6,0.03561614,0.9998239
14,8,11014098,34783,6,0.02668096,0.9998239
14,9,11014099,55263,6,0.02620787,0.9998239
14,10,11014100,61855,6,0.0384601,0.9998239
15,1,11014121,37519,6,0.08574871,0.9995989
15,2,11014122,37519,6,0.16562294,0.9995989
15,3,11014123,49945,6,0.06090958,0.9991575
15,4,11014124,33423,6,0.11651455,0.9995989
15,5,11014125,33423,6,0.10483249,0.9995989
15,6,11014126,37519,6,0.03127913,0.9995989
15,7,11014127,33419,6,0.03115757,0.9995989
15,8,11014128,37519,6,0.0513515,0.9995989
15,9,11014129,33423,6,0.18104215,0.9995989
15,10,11014130,33421,6,0.02842018,0.9995989
16,1,11014151,50127,6,0.075266,0.9993918
16,2,11014152,37323,6,0.03722111,0.9990921
16,3,11014153,32975,6,0.07541731,0.9994305
16,4,11014154,32971,6,0.0868284,0.9994305
16,5,11014155,33163,6,0.07329225,0.9992613
16,6,11014156,37003,6,0.05946585,0.9994306
16,7,11014157,37263,6,0.078723,0.9992614
16,8,11014158,55503,6,0.07276041,0.9994611
16,9,11014159,33163,6,0.07881208,0.9992613
16,10,11014160,37259,6,0.03846404,0.9992613
17,1,11014181,61439,7,0.01821912,0.9999002
17,2,11014182,43999,7,0.01846467,0.9999002
17,3,11014183,29663,7,0.01851482,0.9999002
17,4,11014184,55263,7,0.02240008,0.9999002
17,5,11014185,44023,7,0.01310639,0.999817
17,6,11014186,51199,7,0.01344973,0.9999002
17,7,11014187,30431,7,0.02256169,0.9997008
17,8,11014188,62431,7,0.01821533,0.9999002
17,9,11014189,32479,7,0.01546627,0.9997008
17,10,11014190,30463,7,0.02352177,0.9998005
18,1,11014211,36873,6,0.04707328,0.9995736
18,2,11014212,32845,6,0.05396113,0.9995736
18,3,11014213,32777,6,0.04064642,0.9995736
18,4,11014214,37259,6,0.03713278,0.9995471
18,5,11014215,32911,6,0.0533756,0.9995736
18,6,11014216,32907,6,0.08241423,0.9995736
18,7,11014217,32777,6,0.04644781,0.9995736
18,8,11014218,32811,6,0.05554232,0.9995603
18,9,11014219,33035,6,0.05444252,0.9995471
18,10,11014220,37003,6,0.04091465,0.9995736
19,1,11014241,51679,6,0.04132252,0.9997883
19,2,11014242,44447,6,0.04163767,0.9997883
19,3,11014243,30175,6,0.0324139,0.9995769
19,4,11014244,54751,6,0.03873902,0.9993656
19,5,11014245,55759,6,0.07760128,0.9989547
19,6,11014246,45007,6,0.02449065,0.9995769
19,7,11014247,59871,6,0.05509664,0.9997883
19,8,11014248,52431,6,0.03466536,0.9989547
19,9,11014249,35791,6,0.02527192,0.9995769
19,10,11014250,53663,6,0.03295892,0.9993732
20,1,11014271,55951,6,0.03397021,0.9997744
20,2,11014272,49625,6,0.03293276,0.9991588
20,3,11014273,35737,6,0.04416598,0.9995874
20,4,11014274,55065,6,0.05248015,0.9995662
20,5,11014275,49945,6,0.07811693,0.9991206
20,6,11014276,39385,6,0.04750936,0.9997915
20,7,11014277,49625,6,0.06213352,0.9991588
20,8,11014278,50073,6,0.06903637,0.9992406
20,9,11014279,49945,6,0.06050663,0.9991206
20,10,11014280,49945,6,0.04809261,0.9991206
21,1,11014301,36873,6,0.10168608,0.9994794
21,2,11014302,33227,6,0.06212883,0.9992382
21,3,11014303,32969,6,0.08365948,0.9994793
21,4,11014304,32971,6,0.06526425,0.9994793
21,5,11014305,37067,6,0.09074134,0.9994793
21,6,11014306,37067,6,0.07978017,0.9994793
21,7,11014307,32907,6,0.07302435,0.9994793
21,8,11014308,37003,6,0.06799981,0.9994793
21,9,11014309,37145,6,0.05418832,0.9996792
21,10,11014310,32973,6,0.05742218,0.9994793
22,1,11014331,14303,7,0.0249951,0.9998355
22,2,11014332,31711,7,0.02461974,0.9998355
22,3,11014333,60383,7,0.03028112,0.9998355
22,4,11014334,43999,7,0.02938763,0.9998355
22,5,11014335,62431,7,0.02499097,0.9998355
22,6,11014336,45023,7,0.02761747,0.9998355
22,7,11014337,30175,7,0.02061514,0.9996712
22,8,11014338,31711,7,0.04378717,0.9998355
22,9,11014339,65247,7,0.02767125,0.999507
22,10,11014340,36831,7,0.01889841,0.9998355
23,1,11014361,51979,6,0.13257164,1.0950768
23,2,11014362,56779,6,0.27711012,1.0950578
23,3,11014363,51979,6,0.07629483,1.0950768
23,4,11014364,52106,6,0.09812447,1.0949079
23,5,11014365,54731,6,0.30462623,1.0950768
23,6,11014366,56779,6,0.37203525,1.0950578
23,7,11014367,52683,6,0.25037214,1.0950578
23,8,11014368,52675,6,0.0893148,1.0949246
23,9,11014369,52010,6,0.26361569,1.0949769
23,10,11014370,50373,6,0.05738569,1.0947914
24,1,11014391,35231,6,0.04276137,0.9997878
24,2,11014392,33167,6,0.04774298,0.9991763
24,3,11014393,37323,6,0.0331208,0.9989644
24,4,11014394,50127,6,0.11605597,0.9992642
24,5,11014395,56271,6,0.035646,0.9995759
24,6,11014396,33743,6,0.1027301,0.9995759
24,7,11014397,33743,6,0.04490206,0.9995759
24,8,11014398,22735,6,0.06268196,0.9992761
24,9,11014399,33743,6,0.07148809,0.9995759
24,10,11014400,37839,6,0.06830515,0.9995759
25,1,11014421,29951,7,0.01715487,0.9998891
25,2,11014422,65279,7,0.01489181,0.9998891
25,3,11014423,29695,7,0.01928761,0.9999168
25,4,11014424,36607,7,0.02222987,0.9998891
25,5,11014425,51199,7,0.01541876,0.9999445
25,6,11014426,30207,7,0.03225991,0.9999445
25,7,11014427,47103,7,0.01709386,0.9999445
25,8,11014428,48383,7,0.01916751,0.9998891
25,9,11014429,15359,7,0.01580632,0.9999168
25,10,11014430,35839,7,0.01556873,0.9999168
26,1,11014451,32777,6,0.05390901,0.9995499
26,2,11014452,33033,6,0.04305173,0.9994999
26,3,11014453,21273,6,0.04721744,0.9988515
26,4,11014454,32907,6,0.06808554,0.9995499
26,5,11014455,36939,6,0.04650514,0.99955
26,6,11014456,37007,6,0.04231623,0.9995499
26,7,11014457,37193,6,0.05280811,0.9994499
26,8,11014458,37131,6,0.06334727,0.9994999
26,9,11014459,37067,6,0.06970306,0.9995499
