# The 22872 cells of the arrangement of the 254 lines of m2_lines.csv over the plane of games (u, v).  A cell is
# an open convex region on which no line vanishes; it is identified by its sign vector.
# cell: index 0..22871 (numbered by first appearance in m2_faces.csv).
# sides: the sign vector as a hexadecimal integer, 0x followed by 64 hex digits: bit j (value 2^j) is 1 if
# A_j u + B_j v > C_j on the cell and 0 if A_j u + B_j v < C_j, for line j of m2_lines.csv.
# Read it with int(s, 16) >> j & 1.
cell,sides
245,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffffe3fefd98e67
246,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffefe3fefd98e67
247,0x3fffffffffffffffbffffffffffff9ffffffffffffffe2fcfefefe3fefd98e67
248,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfefefe3fefd98e67
249,0x3fffffffffffffffbffffffffffff9ffffffff7fffffe2fcfefefe3fefd98e67
250,0x3fffffffffffffffbffffffffffff9ffffffff7fffffc2fcfefefe3fefd98e67
251,0x3fffffffffffffffbffffffffffff9ffffffff7fffffc2fcdefefe3fefd98e67
252,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffc2fcdefefe3fefd98e67
253,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffbd98e67
254,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffefffbd98e67
255,0x3ffffffffffffffffffffffffffffffffffffffffffffbfffffffefffbd98e67
256,0x3fffffffffffffffffffffffffffffffffffffffffffebfffffffefffbd98e67
257,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffbd98e63
258,0x3fffffffffffffffffffffffffffffffffffffffffffeffffffffffffbd98e63
259,0x3fffffffffffffffffffffffffffffffffffffffffffebfffffffffffbd98e63
260,0x3fffffffffffffffffffffffffffffffffffffffffffebfffffffefffbd98e63
261,0x3fffffffffffffffffffffffffffffffffffffffffffcbfffffffffffbd98e63
262,0x3fffffffffffffffffffffffffffffffffffffffffffcbfffffffefffbd98e63
263,0x3fffffffffffffffffffffffffffffffffffffffffffc3fffffffffffbd98e63
264,0x3fffffffffffffffffffffffffffffffffffffffffffc3fffffffefffbd98e63
265,0x3ffffffffffffffffffffffffffffffffffffffffffffbfffffffe7ffbd98e67
266,0x3fffffffffffffffffffffffffffffffffffffffffffebfffffffe7ffbd98e67
267,0x3fffffffffffffffffffffffffffffffffffffffffffc2fffffffefffbd98e63
268,0x3fffffffffffffffffffffffffffffffffffffffffffebfdfffffe7ffbd98e67
269,0x3fffffffffffffffffffffffffffffffffffffffffffc2fdfffffefffbd98e63
270,0x3ffffffffffffffffffffffffffffbffffffffffffffc2fdfffffefffbd98e63
271,0x3fffffffffffffffffffffffffffffffffffffffffffeafdfffffe7ffbd98e67
272,0x3ffffffffffffffffffffffffffffbffffffffffffffeafdfffffe7ffbd98e67
273,0x3fffffffffffffffffffffffffffffffffffffffffffe2fdfffffe7ffbd98e67
274,0x3ffffffffffffffffffffffffffffbffffffffffffffe2fdfffffe7ffbd98e67
275,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fdfffffe7ffbd98e67
276,0x3fffffffffffffffffffffffffffffffffffffffffffc2fdfffffe7ffbd98e67
277,0x3ffffffffffffffffffffffffffffbffffffffffffffc2fdfffffe7ffbd98e67
278,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fdfffffe7ffbd98e67
279,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe7ffbd98e67
280,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe7febd98e67
281,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffffe7ffbd98e67
282,0x3fffffffffffffffbffffffffffff9ffffffffffffffc2fcfffffe7febd98e67
283,0x3fffffffffffffffffffffffffffffffffffffffffffc2fdfffffe7ffbd98e63
