# DiskM2WF: 19 donation (DonationWF scale) + 19 donation (lam=1) + 16x8 disk grid + 17x17 square + 512-point sunflower (BinM2Ev ca6)
#   gid   ic                       cR                       cS                       cT                    u                    v tag
   258    0   1.0000000000000000e+00  -1.7752694865520717e+00   1.7353406981969892e+00  -1.775269486552e+00   7.353406981970e-01 D_a07_r2_PD
   259    0   1.0000000000000000e+00  -2.4915178150068558e+00   2.0320204698700199e+00  -2.491517815007e+00   1.032020469870e+00 D_a07_r3_PD
   260    0   1.0000000000000000e+00  -3.2591406458766370e+00   2.3499802572035122e+00  -3.259140645877e+00   1.349980257204e+00 D_a07_r4_PD
   261    0   1.0000000000000000e+00  -4.1903236875556757e+00   2.7356889021188011e+00  -4.190323687556e+00   1.735688902119e+00 D_a07_r5_PD
   262    0   1.0000000000000000e+00  -5.4813391930150832e+00   3.2704450337140440e+00  -5.481339193015e+00   2.270445033714e+00 D_a07_r6_PD
   263    0   1.0000000000000000e+00  -7.6928344417256422e+00   4.1864763588536187e+00  -7.692834441726e+00   3.186476358854e+00 D_a07_r7_PD
   264    0   1.0000000000000000e+00  -1.4312680173272430e+01   6.9285062416779413e+00  -1.431268017327e+01   5.928506241678e+00 D_a07_r8_PD
   265    0   1.0000000000000000e+00  -1.0327955589886444e+00   1.0000000000000002e+00  -1.032795558989e+00   1.264809775489e-16 D_a08_r1_PD
   266    0   1.0000000000000000e+00  -1.9215378456610457e+00   1.0000000000000002e+00  -1.921537845661e+00   2.353205172129e-16 D_a08_r2_PD
   267    0   1.0000000000000000e+00  -2.6967994498529686e+00   1.0000000000000002e+00  -2.696799449853e+00   3.302626814205e-16 D_a08_r3_PD
   268    0   1.0000000000000000e+00  -3.5276684147527875e+00   1.0000000000000004e+00  -3.527668414753e+00   4.320147832580e-16 D_a08_r4_PD
   269    0   1.0000000000000000e+00  -4.5355736761107259e+00   1.0000000000000007e+00  -4.535573676111e+00   5.554475784746e-16 D_a08_r5_PD
   270    0   1.0000000000000000e+00  -5.9329587896765306e+00   1.0000000000000007e+00  -5.932958789677e+00   7.265778991251e-16 D_a08_r6_PD
   271    0   1.0000000000000000e+00  -8.3266639978645287e+00   1.0000000000000011e+00  -8.326663997865e+00   1.019722241256e-15 D_a08_r7_PD
   272    0   1.0000000000000000e+00  -1.5491933384829682e+01   1.0000000000000020e+00  -1.549193338483e+01   1.897214663234e-15 D_a08_r8_PD
   273    0   1.0000000000000000e+00  -9.5417867821816182e-01   6.0476625055480415e-01  -9.541786782182e-01  -3.952337494452e-01 D_a09_r1_SH
   274    0   1.0000000000000000e+00  -1.7752694865520717e+00   2.6465930180301112e-01  -1.775269486552e+00  -7.353406981970e-01 D_a09_r2_SH
   275    0   1.0000000000000000e+00  -2.4915178150068558e+00  -3.2020469870019497e-02  -2.491517815007e+00  -1.032020469870e+00 D_a09_r3_SH
   276    0   1.0000000000000000e+00  -3.2591406458766370e+00  -3.4998025720351156e-01  -3.259140645877e+00  -1.349980257204e+00 D_a09_r4_SH
   277    0   1.0000000000000000e+00  -4.1903236875556757e+00  -7.3568890211880045e-01  -4.190323687556e+00  -1.735688902119e+00 D_a09_r5_SH
   278    0   1.0000000000000000e+00  -5.4813391930150823e+00  -1.2704450337140427e+00  -5.481339193015e+00  -2.270445033714e+00 D_a09_r6_SH
   279    0   1.0000000000000000e+00  -7.6928344417256396e+00  -2.1864763588536160e+00  -7.692834441726e+00  -3.186476358854e+00 D_a09_r7_SH
   280    0   1.0000000000000000e+00  -1.4312680173272430e+01  -4.9285062416779386e+00  -1.431268017327e+01  -5.928506241678e+00 D_a09_r8_SH
   281    0   1.0000000000000000e+00  -7.3029674334022154e-01   2.6970325665977868e-01  -7.302967433402e-01  -7.302967433402e-01 D_a10_r1_SH
   282    0   1.0000000000000000e+00  -1.3587324409735151e+00  -3.5873244097351487e-01  -1.358732440974e+00  -1.358732440974e+00 D_a10_r2_SH
   283    0   1.0000000000000000e+00  -1.9069251784911856e+00  -9.0692517849118492e-01  -1.906925178491e+00  -1.906925178491e+00 D_a10_r3_SH
   284    0   1.0000000000000000e+00  -2.4944382578492950e+00  -1.4944382578492945e+00  -2.494438257849e+00  -2.494438257849e+00 D_a10_r4_SH
   285    0   1.0000000000000000e+00  -3.2071349029490928e+00  -2.2071349029490919e+00  -3.207134902949e+00  -3.207134902949e+00 D_a10_r5_SH
   286    0   1.0000000000000000e+00  -4.1952353926806074e+00  -3.1952353926806056e+00  -4.195235392681e+00  -4.195235392681e+00 D_a10_r6_SH
   287    0   1.0000000000000000e+00  -5.8878405775518994e+00  -4.8878405775518985e+00  -5.887840577552e+00  -5.887840577552e+00 D_a10_r7_SH
   288    0   1.0000000000000000e+00  -1.0954451150103354e+01  -9.9544511501033508e+00  -1.095445115010e+01  -1.095445115010e+01 D_a10_r8_SH
   289    0   1.0000000000000000e+00  -3.9523374944519657e-01   4.5821321781838398e-02  -3.952337494452e-01  -9.541786782182e-01 D_a11_r1_SH
   290    0   1.0000000000000000e+00  -7.3534069819699011e-01  -7.7526948655207129e-01  -7.353406981970e-01  -1.775269486552e+00 D_a11_r2_SH
   291    0   1.0000000000000000e+00  -1.0320204698700213e+00  -1.4915178150068553e+00  -1.032020469870e+00  -2.491517815007e+00 D_a11_r3_SH
   292    0   1.0000000000000000e+00  -1.3499802572035136e+00  -2.2591406458766365e+00  -1.349980257204e+00  -3.259140645877e+00 D_a11_r4_SH
   293    0   1.0000000000000000e+00  -1.7356889021188033e+00  -3.1903236875556749e+00  -1.735688902119e+00  -4.190323687556e+00 D_a11_r5_SH
   294    0   1.0000000000000000e+00  -2.2704450337140467e+00  -4.4813391930150814e+00  -2.270445033714e+00  -5.481339193015e+00 D_a11_r6_SH
   295    0   1.0000000000000000e+00  -3.1864763588536231e+00  -6.6928344417256405e+00  -3.186476358854e+00  -7.692834441726e+00 D_a11_r7_SH
   296    0   1.0000000000000000e+00  -5.9285062416779493e+00  -1.3312680173272426e+01  -5.928506241678e+00  -1.431268017327e+01 D_a11_r8_SH
   297    0   1.0000000000000000e+00  -1.8972146632335670e-16  -3.2795558988644391e-02  -1.897214663234e-16  -1.032795558989e+00 D_a12_r1_SH
   298    0   1.0000000000000000e+00  -3.5298077581939503e-16  -9.2153784566104568e-01  -3.529807758194e-16  -1.921537845661e+00 D_a12_r2_SH
   299    0   1.0000000000000000e+00  -4.9539402213071717e-16  -1.6967994498529686e+00  -4.953940221307e-16  -2.696799449853e+00 D_a12_r3_SH
   300    0   1.0000000000000000e+00  -6.4802217488703278e-16  -2.5276684147527875e+00  -6.480221748870e-16  -3.527668414753e+00 D_a12_r4_SH
   301    0   1.0000000000000000e+00  -8.3317136771189932e-16  -3.5355736761107259e+00  -8.331713677119e-16  -4.535573676111e+00 D_a12_r5_SH
   302    0   1.0000000000000000e+00  -1.0898668486875775e-15  -4.9329587896765306e+00  -1.089866848688e-15  -5.932958789677e+00 D_a12_r6_SH
   303    0   1.0000000000000000e+00  -1.5295833618840447e-15  -7.3266639978645287e+00  -1.529583361884e-15  -8.326663997865e+00 D_a12_r7_SH
   304    0   1.0000000000000000e+00  -2.8458219948503533e-15  -1.4491933384829682e+01  -2.845821994850e-15  -1.549193338483e+01 D_a12_r8_SH
   305    0   1.0000000000000000e+00   3.9523374944519624e-01   4.5821321781838287e-02   3.952337494452e-01  -9.541786782182e-01 D_a13_r1_HA
   306    0   1.0000000000000000e+00   7.3534069819698944e-01  -7.7526948655207151e-01   7.353406981970e-01  -1.775269486552e+00 D_a13_r2_HA
   307    0   1.0000000000000000e+00   1.0320204698700204e+00  -1.4915178150068558e+00   1.032020469870e+00  -2.491517815007e+00 D_a13_r3_HA
   308    0   1.0000000000000000e+00   1.3499802572035127e+00  -2.2591406458766370e+00   1.349980257204e+00  -3.259140645877e+00 D_a13_r4_HA
   309    0   1.0000000000000000e+00   1.7356889021188018e+00  -3.1903236875556757e+00   1.735688902119e+00  -4.190323687556e+00 D_a13_r5_HA
   310    0   1.0000000000000000e+00   2.2704450337140445e+00  -4.4813391930150814e+00   2.270445033714e+00  -5.481339193015e+00 D_a13_r6_HA
   311    0   1.0000000000000000e+00   3.1864763588536205e+00  -6.6928344417256413e+00   3.186476358854e+00  -7.692834441726e+00 D_a13_r7_HA
   312    0   1.0000000000000000e+00   5.9285062416779439e+00  -1.3312680173272428e+01   5.928506241678e+00  -1.431268017327e+01 D_a13_r8_HA
   313    0   1.0000000000000000e+00   7.3029674334022132e-01   2.6970325665977846e-01   7.302967433402e-01  -7.302967433402e-01 D_a14_r1_HA
   314    0   1.0000000000000000e+00   1.3587324409735149e+00  -3.5873244097351509e-01   1.358732440974e+00  -1.358732440974e+00 D_a14_r2_HA
   315    0   1.0000000000000000e+00   1.9069251784911849e+00  -9.0692517849118559e-01   1.906925178491e+00  -1.906925178491e+00 D_a14_r3_HA
   316    0   1.0000000000000000e+00   2.4944382578492945e+00  -1.4944382578492950e+00   2.494438257849e+00  -2.494438257849e+00 D_a14_r4_HA
   317    0   1.0000000000000000e+00   3.2071349029490919e+00  -2.2071349029490928e+00   3.207134902949e+00  -3.207134902949e+00 D_a14_r5_HA
   318    0   1.0000000000000000e+00   4.1952353926806056e+00  -3.1952353926806074e+00   4.195235392681e+00  -4.195235392681e+00 D_a14_r6_HA
   319    0   1.0000000000000000e+00   5.8878405775518985e+00  -4.8878405775518994e+00   5.887840577552e+00  -5.887840577552e+00 D_a14_r7_HA
   320    0   1.0000000000000000e+00   1.0954451150103351e+01  -9.9544511501033544e+00   1.095445115010e+01  -1.095445115010e+01 D_a14_r8_HA
   321    0   1.0000000000000000e+00   9.5417867821816160e-01   6.0476625055480338e-01   9.541786782182e-01  -3.952337494452e-01 D_a15_r1_HA
   322    0   1.0000000000000000e+00   1.7752694865520713e+00   2.6465930180300978e-01   1.775269486552e+00  -7.353406981970e-01 D_a15_r2_HA
   323    0   1.0000000000000000e+00   2.4915178150068553e+00  -3.2020469870021495e-02   2.491517815007e+00  -1.032020469870e+00 D_a15_r3_HA
   324    0   1.0000000000000000e+00   3.2591406458766365e+00  -3.4998025720351400e-01   3.259140645877e+00  -1.349980257204e+00 D_a15_r4_HA
   325    0   1.0000000000000000e+00   4.1903236875556749e+00  -7.3568890211880333e-01   4.190323687556e+00  -1.735688902119e+00 D_a15_r5_HA
   326    0   1.0000000000000000e+00   5.4813391930150814e+00  -1.2704450337140472e+00   5.481339193015e+00  -2.270445033714e+00 D_a15_r6_HA
   327    0   1.0000000000000000e+00   7.6928344417256405e+00  -2.1864763588536236e+00   7.692834441726e+00  -3.186476358854e+00 D_a15_r7_HA
   328    0   1.0000000000000000e+00   1.4312680173272426e+01  -4.9285062416779502e+00   1.431268017327e+01  -5.928506241678e+00 D_a15_r8_HA
  1000    0   1.0000000000000000e+00  -8.0000000000000000e+00  -7.0000000000000000e+00  -8.000000000000e+00  -8.000000000000e+00 Q_i00_j00_SHW
  1001    0   1.0000000000000000e+00  -8.0000000000000000e+00  -6.0000000000000000e+00  -8.000000000000e+00  -7.000000000000e+00 Q_i00_j01_SHW
  1002    0   1.0000000000000000e+00  -8.0000000000000000e+00  -5.0000000000000000e+00  -8.000000000000e+00  -6.000000000000e+00 Q_i00_j02_SHW
  1003    0   1.0000000000000000e+00  -8.0000000000000000e+00  -4.0000000000000000e+00  -8.000000000000e+00  -5.000000000000e+00 Q_i00_j03_SHW
  1004    0   1.0000000000000000e+00  -8.0000000000000000e+00  -3.0000000000000000e+00  -8.000000000000e+00  -4.000000000000e+00 Q_i00_j04_SHW
  1005    0   1.0000000000000000e+00  -8.0000000000000000e+00  -2.0000000000000000e+00  -8.000000000000e+00  -3.000000000000e+00 Q_i00_j05_SHW
  1006    0   1.0000000000000000e+00  -8.0000000000000000e+00  -1.0000000000000000e+00  -8.000000000000e+00  -2.000000000000e+00 Q_i00_j06_SHW
  1007    0   1.0000000000000000e+00  -8.0000000000000000e+00   0.0000000000000000e+00  -8.000000000000e+00  -1.000000000000e+00 Q_i00_j07_SHW
  1008    0   1.0000000000000000e+00  -8.0000000000000000e+00   1.0000000000000000e+00  -8.000000000000e+00   0.000000000000e+00 Q_i00_j08_AXW
  1009    0   1.0000000000000000e+00  -8.0000000000000000e+00   2.0000000000000000e+00  -8.000000000000e+00   1.000000000000e+00 Q_i00_j09_PDW
  1010    0   1.0000000000000000e+00  -8.0000000000000000e+00   3.0000000000000000e+00  -8.000000000000e+00   2.000000000000e+00 Q_i00_j10_PDW
