# The Wright-Fisher run m2_N100: memory two (65536 strategies), N = 100, beta = 3, mu = 1e-4, eps = 1e-4, uniform mutants,
# 10 replicates per game of 1e8 generations, the second half of each sampled; the run the paper draws in SI Figures 4 and 5 (rows d-f) and SI Figure 3 a-h.
# Source (not deposited): DiskM2WF/Data/dw2_e4{.idx,.bin,.win} (the Cannon kit dw2, job 45049704); atoms: the exact eps -> 0 classification (DiskM2WF/Opt/exact.py: BinM2NE1's census for stability, the ca17 rival mask, self-play efficiency).
# Written by provenance/four-runs/reduce_runs.py through the loader of the published figures (wfdata.load).
# 
# Columns (one row per game, ipt order 0..511; the games are data/games/games.csv):
#   ipt          the game's index (gid = 2000 + ipt in the packs)
#   isl          the game's task index in the Cannon array of the run (runs.csv)
#   seed1        the seed of its first replicate; replicate r = 1..10 ran on seed1 + r - 1
#   u, v         the game, (R, S, T, P) = (1, u, 1 + v, 0), as the pack gives it (equal to games.csv bit for bit)
#   emax         Emax = max(R, (S + T)/2), from the pack
#   pay          the mean per-round payoff of the population over the sampled halves of the ten replicates
#   E            the realised efficiency, the pack's mean of pay/Emax over the replicates: the left column of
#                Figure 4 / SI Figure 4 (black where E < 0)
#   efsd         the s.d. of pay/Emax over the ten replicates
#   nrep         replicates found (10 at every game)
#   S_000..S_111 the share of the population (time x individuals, second half of each replicate, ten replicates
#                pooled) held by the strategies of each atom, efficient-stable-competitive, in the eps -> 0
#                classification; the seven add to 1 (101 is empty): the atom panels of SI Figures 2 and 3
#   N_000..N_111 the number of strategies of the space in each atom at the game (they add to 65536)
#   P_eff, P_nash, P_comp   the share of the population with each property, the sum of S over its atoms
#                (efficient 100+110+111, stable 010+110+011+111, competitive 001+011+111): Figure 5 / SI Figure 5
#   abundant     the integer code 4e+2n+c of the most abundant atom (largest S among the atoms with N > 0):
#                the middle column of Figure 4 / SI Figure 4 and panels h, p of SI Figures 2 and 3
#   enriched     the integer code of the most enriched atom (largest S/N among the atoms with N > 0):
#                the right column of Figure 4 / SI Figure 4
#   neff         the effective number of strategies, 1/sum_s pi(s)^2, pi the pooled abundance of each strategy
#   maxpi        the largest pi(s), the share of the most abundant single strategy
#   top          that strategy (memory-two genome code 0..65535, as in the census; ALLD 0, ALLC 65535)
ipt,isl,seed1,u,v,emax,pay,E,efsd,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111,N_000,N_100,N_010,N_001,N_110,N_011,N_111,P_eff,P_nash,P_comp,abundant,enriched,neff,maxpi,top
20,1428,9014271,0.8056640625,0.1083984375,1.0,0.98698022087,0.98698022087,0.002074855,10,0.15268999642318257,0.19632153292883617,0.09087479640102199,0.0035669637190543567,0.5536470486369662,0.0017458784035048055,0.0011537834874338056,55029,5740,236,2612,1891,20,8,0.7511223650532362,0.6474215069289269,0.006466625609992968,6,2,621.1568918187162,0.014635109344293936,8380
21,1431,9014301,-0.68359375,0.4755859375,1.0,0.94908723712,0.94908723712,0.008748633,10,0.05853419513020514,0.010538507247054742,0.01403256440289681,0.009882431484582286,0.8960389263588578,0.005621130117461189,0.00535224525894195,55114,4907,151,2392,2724,240,8,0.9119296788648545,0.9210448661381578,0.020855806860985426,6,7,507.4681573480681,0.006910941098957224,37133
22,1434,9014331,0.1875,-0.83203125,1.0,0.99918111018,0.99918111018,4.897466e-05,10,0.0003568721994836285,0.0,8.219899970980354e-06,2.9421180054739986e-05,0.7955180285249108,0.0,0.20408745819557977,53708,0,3068,1121,6120,0,1519,0.9996054867204907,0.9996137066204616,0.20411687937563452,6,7,809.0170810207071,0.006670686409900354,36713
23,1437,9014361,0.43359375,0.7568359375,1.09521484375,1.0692281517,0.97627251659,0.009767618,10,0.1172444376026805,0.0168003582335624,0.03790620893679807,0.004564554097204753,0.6986130756173135,0.0,0.12487136551244071,59314,2120,590,2560,872,0,80,0.8402847993633166,0.8613906500665522,0.12943591960964546,6,7,164.14019515464594,0.02778367694324708,8949
24,1440,9014391,-0.849609375,-0.271484375,1.0,0.97874577922,0.97874577922,0.0137429,10,0.008402263395828552,0.0,0.03611327726387601,0.0007507911567110675,0.9527868399403222,0.0003785940196260118,0.0015682342236362353,53415,0,1850,2255,7631,377,8,0.9543550741639585,0.9908469454474605,0.002697619399973315,6,7,757.1698615389448,0.009500253942384707,36876
25,1443,9014421,0.8271484375,-0.3818359375,1.0,0.99946368812,0.99946368812,3.925247e-05,10,0.0008993073609780592,0.0,0.0,5.9613460123962904e-05,0.7313348407455855,0.0,0.2677062384333125,56776,0,0,1121,6120,0,1519,0.999041079178898,0.999041079178898,0.26776585189343644,6,7,997.207150298594,0.005543350710187259,13945
26,1446,9014451,-0.359375,0.857421875,1.0,0.89768516736,0.89768516736,0.007706942,10,0.16544976908804085,0.037395457531384464,0.011543620548472735,0.03418664670856751,0.7207106705260252,0.013777264679387394,0.016936570918121886,55229,6600,36,2495,1031,137,8,0.7750426989755316,0.7629681266720072,0.06490048230607678,6,7,431.6942681116497,0.01051520834881396,36939
27,1449,9014481,-0.3212890625,-0.8916015625,1.0,0.99904977975,0.99904977975,2.704568e-05,10,0.0003193994798457908,0.0,1.624851993507813e-05,1.1359419962689269e-05,0.9994833538163764,2.8461999710234176e-07,0.00016935414388295688,48873,0,6392,2487,7631,145,8,0.9996527079602594,0.9996692411001916,0.00018099818384274848,6,6,824.5746525891789,0.010101046420214765,33001
28,1452,9014511,0.85546875,0.44921875,1.15234375,1.1466615587,0.99506901367,0.0017923,10,0.039989680631692094,0.03293681856163948,0.0019657492475957453,0.0004336893930823564,0.8824468177737068,0.0,0.042227244392283564,59210,1856,694,2560,1136,0,80,0.9576108807276298,0.9266398114135861,0.04266093378536592,6,6,132.82330564871398,0.021509308338753915,13772
29,1455,9014541,-0.951171875,0.2509765625,1.0,0.93189415204,0.93189415204,0.01646536,10,0.05383001922955231,0.013255211565586605,0.06516170711251731,0.009991881484879245,0.8507852964918797,0.004715906949161777,0.0022599771664231294,55001,4903,264,2314,2728,318,8,0.8663004852238895,0.922922887719982,0.01696776560046415,6,6,531.297765660764,0.008801218121155219,37069
30,1458,9014571,0.5419921875,-0.8427734375,1.0,0.99930205463,0.99930205463,3.962589e-05,10,0.00042098193907962316,0.0,1.6372199966643354e-06,3.528261995770222e-05,0.7636028810126668,0.0,0.23593921720829938,56176,0,600,1121,6120,0,1519,0.9995420982209662,0.9995437354409629,0.23597449982825708,6,7,886.5446766611833,0.005443523161880329,7609
31,1461,9014601,0.1728515625,1.00390625,1.08837890625,1.0475605676,0.96249620565,0.01109317,10,0.1748291546233338,0.015452264719878806,0.03281388806953716,0.0162807368446688,0.583856568913945,0.0,0.17676738682863657,59746,2248,158,2560,744,0,80,0.7760762204624604,0.7934378438121187,0.19304812367330537,6,7,258.5242922958073,0.01612484083692697,8948
32,1464,9014631,-0.8193359375,-0.6337890625,1.0,0.99893324213,0.99893324213,4.092675e-05,10,0.0003289772597015536,0.0,1.7488039965835508e-05,1.100191997988793e-05,0.9992826984347363,9.69819992234116e-07,0.00035886452562418494,49149,0,6116,2223,7631,409,8,0.9996415629603604,0.9996600208203185,0.000370836265596307,6,6,813.1136654037446,0.006421691739013008,5097
33,1467,9014661,1.048828125,-0.0869140625,1.0,0.99779574305,0.99779574305,0.0002130862,10,0.13723591986462544,0.29202869945426946,0.0,0.03319956632316673,0.17720535111042837,0.0,0.36033046324750995,56776,5301,0,1121,819,0,1519,0.8295645138122077,0.5375358143579383,0.3935300295706767,7,7,1810.4312063919406,0.0026988186912078153,52839
34,1470,9014691,-0.7265625,0.78515625,1.0,0.90010821636,0.90010821636,0.009989883,10,0.12284451836331446,0.02317176988458049,0.0,0.025826833324446137,0.8042347842900099,0.017318565310433694,0.006603528827215117,55265,6057,0,2388,1574,244,8,0.8340100830018056,0.8281568784276588,0.049748927462094944,6,7,434.16386729340087,0.012088977751097288,33229
35,1473,9014721,0.0048828125,-1.0859375,1.0,0.9991025031,0.9991025031,4.209445e-05,10,0.00032550735966919536,0.0,8.561939938896725e-06,2.7990740074420605e-05,0.7930151422130808,0.0,0.20662279774723685,53061,0,3715,1121,6120,0,1519,0.9996379399603177,0.9996465019002565,0.20665078848731128,6,7,922.0515792258373,0.0052891620469639345,63929
36,1476,9014751,0.740234375,0.81640625,1.2783203125,1.2652498502,0.98977528386,0.004021626,10,0.03857731048862357,0.02521128955233043,0.005220240252357273,0.0013515104610459156,0.8748447607932115,0.0,0.054794888452431384,59635,1856,269,2560,1136,0,80,0.9548509387979733,0.9348598894980001,0.0561463989134773,6,6,156.12696833078718,0.02351677416519032,8428
37,1479,9014781,-1.11328125,-0.103515625,1.0,0.92236489516,0.92236489516,0.02815372,10,0.034265338393089886,0.0,0.1211776187202472,0.0032489201002221177,0.8351182746873749,0.0056231468990345194,0.0005667012000313909,53726,0,1539,1998,7631,634,8,0.8356849758874063,0.9624857415066881,0.009438768199288027,6,6,582.0791283751046,0.011565249425454208,37162
38,1482,9014811,0.9033203125,-0.685546875,1.0,0.99910227255,0.99910227255,0.0001160229,10,0.0024825034730494386,0.0,0.0,0.0002841365801935111,0.6209910355055346,0.0,0.3762423244412225,56776,0,0,1121,6120,0,1519,0.9972333599467571,0.9972333599467571,0.376526461021416,6,7,1103.9532931804818,0.004669432992445026,41879
39,1485,9014841,-0.2060546875,1.1318359375,1.0,0.87320064762,0.87320064762,0.01073787,10,0.38170036528088164,0.0889537345457301,0.05621266839336318,0.09706963572639549,0.3208071274307108,0.04392524635009094,0.011331222272827738,55213,7397,52,2539,234,93,8,0.42109208424926864,0.4322762644469927,0.15232610434931415,0,7,636.9396906446781,0.009169801154451563,32845
40,1488,9014871,-0.62109375,-0.9873046875,1.0,0.99898226076,0.99898226076,4.389767e-05,10,0.0002948502993084116,0.0,1.695859987212227e-05,1.0357239950763861e-05,0.9972326323634488,6.815999941888641e-07,0.0024445198974257488,48050,0,7215,2282,7631,350,8,0.9996771522608746,0.999694792460741,0.0024555587373707014,6,7,839.3521756672557,0.005200240758237431,61385
41,1491,9014901,1.1396484375,0.3125,1.22607421875,1.2223363153,0.99695132368,0.002869316,10,0.03766687124393378,0.10671900172877039,0.0,6.089764041572522e-05,0.8333596969828698,0.0,0.02219353240401007,59904,1504,0,2560,1488,0,80,0.9622722311156503,0.8555532293868799,0.022254430044425795,6,6,103.06688799007567,0.04064076010866728,15685
42,1494,9014931,-1.064453125,0.546875,1.0,0.93217321704,0.93217321704,0.01293836,10,0.07172008028306384,0.026850605615735757,0.008473360600389846,0.013985483965283693,0.8661273737413062,0.0111451856902561,0.0016979101039645973,55205,5849,60,2258,1782,374,8,0.8946758894610065,0.8874438301359168,0.02682857975950439,6,6,515.417967628546,0.007914915677980437,51673
43,1497,9014961,0.421875,-1.13671875,1.0,0.99920781651,0.99920781651,3.379325e-05,10,0.00035816250003975025,0.0,3.816599973517234e-06,2.8844520079636997e-05,0.7994804406327152,0.0,0.20012873574719192,55109,0,1667,1121,6120,0,1519,0.9996091763799071,0.9996129929798806,0.20015758026727157,6,7,914.1450963252893,0.006436402915469456,55895
44,1500,9014991,0.462890625,1.13671875,1.2998046875,1.2724942016,0.97898877721,0.00803894,10,0.06116760251209327,0.024855808767220846,0.005781429267477905,0.0042097625721367335,0.7830832571027686,0.0,0.12090213977830264,59836,2120,68,2560,872,0,80,0.9288412056482921,0.9097668261485492,0.12511190235043937,6,7,152.78110912337354,0.02414280183945552,8356
45,1503,9015021,-1.123046875,-0.5322265625,1.0,0.9961665658,0.9961665658,0.006521504,10,0.0006057987783517808,0.0,0.005544288053967313,1.0308519969152325e-05,0.9924869429542933,1.7944399967206427e-06,0.0013508672534215933,49052,0,6213,1966,7631,666,8,0.9938378102077149,0.9993838927016789,0.0013629702133874664,6,7,746.0749361209473,0.006928076961227228,36185
46,1506,9015051,1.201171875,-0.3701171875,1.0,0.99791297625,0.99791297625,0.0001892064,10,0.024765487402580035,0.2137247792133659,0.0,0.007071140481658459,0.277586489254964,0.0,0.47685210364743164,56776,5301,0,1121,819,0,1519,0.9681633721157615,0.7544385929023956,0.4839232441290901,7,6,1109.5141678869863,0.004179825072243611,36087
47,1509,9015081,-0.6435546875,1.09765625,1.0,0.82920643433,0.82920643433,0.01745335,10,0.2229989062667178,0.11034760759931697,0.0063702936315695805,0.055511153128074406,0.5412303558109124,0.04077803871930402,0.022763644844104924,55241,7340,24,2402,291,230,8,0.6743416082543343,0.6111423330058909,0.11905283669148335,6,7,356.4884586158939,0.013541015816195111,32843
48,1512,9015111,-0.2705078125,-1.2578125,1.0,0.99898757827,0.99898757827,4.12499e-05,10,0.000295348919206901,0.0,1.5402259853854342e-05,1.0462559960217015e-05,0.9995148183965081,2.7098000051209516e-07,0.00016369688447025245,48168,0,7097,2479,7631,153,8,0.9996785152809784,0.9996941885208328,0.00017443042443098157,6,6,855.1044020627131,0.008913221764149685,45049
49,1515,9015141,1.060546875,0.75390625,1.4072265625,1.4011242197,0.99566356764,0.004605649,10,0.016459369352237678,0.004626731087601145,0.0,0.00033021697785264406,0.9449375909641989,0.0,0.03364609161810955,59904,1504,0,2560,1488,0,80,0.9832104136699096,0.9785836825823084,0.0339763085959622,6,6,92.82401864040105,0.03472640359078668,8876
50,1518,9015171,-1.3056640625,0.1630859375,1.0,0.9124442099,0.9124442099,0.01914408,10,0.04825949483944931,0.017138200510017486,0.0964859717403007,0.00786886780534677,0.8164539016963103,0.013793259228566349,3.0418000926381407e-07,54852,4899,413,1993,2732,639,8,0.833592406386337,0.9267334368451866,0.021662431213922383,6,6,574.1135042636078,0.014423132888538552,36876
51,1521,9015201,0.8623046875,-1.0126953125,1.0,0.99897758036,0.99897758036,0.0001948165,10,0.002000724937473373,0.0,0.0,0.0002551359578764834,0.6334006200105547,0.0,0.36434351909409524,56776,0,0,1121,6120,0,1519,0.99774413910465,0.99774413910465,0.3645986550519717,6,7,1154.2745794898672,0.003748170562758385,54719
52,1524,9015231,0.048828125,1.34375,1.1962890625,1.1492732721,0.96069863728,0.00950991,10,0.1146347076378999,0.014582132823189944,0.011903413553866829,0.01452749000629689,0.622188294715799,0.0,0.22216396126294743,59818,2248,86,2560,744,0,80,0.8589343888019364,0.8562556695326132,0.23669145126924432,6,7,175.75055591544626,0.018757198018875314,19234
53,1527,9015261,-0.9541015625,-0.9677734375,1.0,0.99886358082,0.99886358082,5.228037e-05,10,0.0002900230590553613,0.0,1.764189985635107e-05,1.0316999942630096e-05,0.9991811604489292,8.470199904387664e-07,0.0005000105722259439,47629,0,7636,2202,7631,430,8,0.9996811710211552,0.999699659941002,0.0005111745921590128,6,6,872.2840229592798,0.007329071400156437,41945
54,1530,9015291,1.37109375,0.0703125,1.220703125,1.2057774959,0.98777292464,0.004223502,10,0.1097528560108864,0.07955898384803337,0.0,0.01502554498574174,0.7458815717921884,0.0,0.04978104336314983,59904,1984,0,2560,1008,0,80,0.8752215990033716,0.7956626151553382,0.06480658834889157,6,6,131.76739528110883,0.05025846141133493,13771
55,1533,9015321,-1.0693359375,0.8837890625,1.0,0.85226635466,0.85226635466,0.0122227,10,0.1463183772219708,0.022808150030497097,0.0,0.03528362350646173,0.7506228582841092,0.03338955421530918,0.011577436741651764,55265,6057,0,2281,1574,351,8,0.7850084450562581,0.7955898492410702,0.08025061446342267,6,7,391.92056902896815,0.014490365039789028,36873
