# The memory-one Wright-Fisher run m1_N100 whole: N = 100, beta = 3, mu = 1e-4, eps = 1e-4, 10 replicates of 1e8
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw2_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N100.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
90,50000000000,327947,354652,327937,429308,399591,7339403,400880,24774123194,324515,376723,324439,564006,402528,8624474,401796,25205278607
91,50000000000,4437854,3717420,46221676386,153448992,440353,420233,673063,2122661,16362939,54742174,1050421055,1845556182,1037972,967259,170132967,473842490
92,50000000000,560976,702609,371548,377716,341017,378066,316889,324024,862548,49985991581,378160,394024,378159,7967894,317959,336830
93,50000000000,371919,471804,372376,652852,598492,11826474,596412,25045685960,371567,568833,370742,1000503,646810,23067471,646364,24912751421
94,50000000000,14879060464,13593567314,1903681513,239420954,2840790003,6329438412,8979575,73923569,717418205,755786855,237117340,96380210,5367720455,2657759159,236718871,62237101
95,50000000000,334337,368902,334219,451483,419585,5991020,417536,21835204829,337855,4999093965,332688,619535,425620,7469156,422662,23147776608
96,50000000000,66554825,8164776,382596039,53921420,5055865,1220335,8848697,5888367,148903311,2757983,1172916601,48113599526,5909031,1247328,12317499,10098397
97,50000000000,14956581879,14529205722,247490033,4157405695,1322099661,5037577458,17252185,192411607,827636771,8100535623,87493954,202955929,92907848,61000487,55994062,111451086
98,50000000000,329594,355996,328702,436797,407628,8193911,406204,24942101613,325712,381409,325942,581227,409595,10041882,409255,25034964533
99,50000000000,297740265,305201721,49307953400,6569976,1411729,634543,509823,746873,5783371,18130423,13326809,2709839,11617276,24207537,1747095,1709320
100,50000000000,14765846852,15217088979,439459,486514,5777620,9581335,395543,2692672867,446682,14996582379,348824,466336,425500,3222758,372887,2305845465
101,50000000000,443022,525590,443579,777156,65723469,31230380,9637634,308873243,608942,4036760,609528,42599410,193290297,48961292652,14988625,364919713
102,50000000000,19114042298,18000079615,1473773501,211838521,1908914573,3587249975,20177325,149795643,831689562,1369523391,198686663,181425256,1787521968,802839054,233451444,128991211
103,50000000000,325120,345936,325400,407955,384756,6895689,387025,24761389789,322236,363686,322815,526569,385643,7894734,384804,25219337843
104,50000000000,4490749,3909745,24494433719,24832940,515982917,48027555,1135405,2268494,1465982,1591732,15206076690,212308972,3267425654,6167681566,8479797,39888083
105,50000000000,157700758,128242482,1016325,2199318,939558,4883620,317877,2674869,8108533,49679862406,804645,2162422,652265,8395417,521126,1518379
106,50000000000,338137,382834,338211,497366,459919,9922967,457584,24906136675,332590,427975,333793,694139,473341,14149981,471979,25064582509
107,50000000000,15833578505,8447035429,2314241364,920875237,1935514699,5894106338,3764181,82608980,273222557,1640414119,144140607,803948450,5242051269,6084900182,185402380,194195703
108,50000000000,346940,386336,342343,461452,428751,5275766,425368,20322188633,4999017342,4999156503,348766,619356,1168186,6469829,440204,19662924225
109,50000000000,634695,628423,741008,1065137,1729194811,121787141,6287810,34571976,815134,1322765,1344130,1351267044,11058313219,35638289476,8762522,44974709
110,50000000000,19802873449,19534739578,758218359,946736329,1954677355,2461283075,23715235,182771955,1075901947,2016012862,155606175,236485165,359321690,233987642,103427449,154241735
